sid,週期溢價,未平倉市值_百萬,買方OI張,賣方OI張,有資料天數,名稱,溢價排名,倉位排名,打擊名單,高溢價無倉,ADV20張,空方cover,多方cover,空方名單,多方名單
2027,0.0049189586597941,263,702.0,5600.0,3,大成鋼,44.0,84.0,False,False,13246.7706,0.4227,0.053,False,False
3702,0.0049134618024226995,278,402.0,2416.0,3,大聯大,45.0,80.5,False,False,9894.83675,0.2442,0.0406,False,False
3227,0.0048860741965460345,30,32.0,162.0,3,原相,46.0,150.5,False,False,603.3914,0.2685,0.053,False,False
5871,0.004877530175271633,95,54.0,848.0,3,中租-KY,47.0,113.0,False,False,6619.431,0.1281,0.0082,False,False
2327,0.004841072174271392,10687,5504.2,19022.1,3,國巨*,48.0,7.0,False,False,40679.013,0.4676,0.1353,False,False
8299,0.004835647029247136,9292,1040.3,4295.8,3,群聯,49.0,9.0,False,False,4260.05465,1.0084,0.2442,False,False
1101,0.004835393012214866,125,814.0,5138.0,3,台泥,50.0,105.5,False,False,54822.7094,0.0937,0.0148,False,False
6271,0.004833476712528566,188,286.0,812.0,3,同欣電,51.0,93.0,False,False,5557.1939,0.1461,0.0515,False,False
2615,0.0047884914612475,676,1682.0,5706.0,3,萬海,52.0,58.0,False,False,28933.148,0.1972,0.0581,False,False
2308,0.004762307605292188,21307,2486.3,11268.4,3,台達電,53.0,4.0,False,False,11645.05105,0.9677,0.2135,False,False
3680,0.0047496514673073705,242,95.0,436.8,3,家登,54.0,86.5,False,False,2063.4912,0.2117,0.046,False,False
3691,0.0047425774171925995,41,138.0,404.0,2,碩禾,55.0,138.0,False,False,365.414,1.1056,0.3777,False,False
3189,0.004732049319096,6964,1504.0,8300.0,3,景碩,56.0,12.0,False,False,18566.02295,0.4471,0.081,False,False
6239,0.004715057773377367,1440,408.0,4882.0,3,力成,57.0,44.0,False,False,14139.0325,0.3453,0.0289,False,False
2330,0.004681077595208164,86863,19639.1,34802.8,3,台積電,58.0,1.0,False,False,21636.899100000002,1.6085,0.9077,True,False
2603,0.0046749918089442665,2900,2444.0,11910.0,3,長榮,59.0,30.0,False,False,11823.07395,1.0074,0.2067,False,False
3374,0.0046734108065204,3164,184.0,7046.0,3,精材,60.0,26.0,False,False,13207.61135,0.5335,0.0139,False,False
6547,0.0046462077641994,45,26.0,760.0,3,高端疫苗,61.0,136.5,False,False,6742.553400000001,0.1127,0.0039,False,False
5904,0.004631283860943657,10,29.6,141.5,3,寶雅*,62.0,175.0,False,False,5755.6972000000005,0.0246,0.0051,False,False
3081,0.004615827249531134,6401,0.0,2196.0,3,聯亞,63.0,13.0,False,False,4093.89065,0.5364,0.0,False,False
2887,0.0046017994339793,177,368.0,3994.0,3,台新新光金,64.0,97.0,False,False,66004.82635,0.0605,0.0056,False,False
1216,0.004600109800944433,49,584.0,648.0,3,統一,65.0,131.5,False,False,9487.67215,0.0683,0.0616,False,False
3406,0.0045822726986028415,1276,400.9,1334.3,3,玉晶光,66.0,48.0,False,False,7051.0506,0.1892,0.0569,False,False
